Site ID,IP Address,Serial Number,Audio 1 L,Audio 1 L Service,Audio 1 R,Audio 1 R Service,Audio 2,Audio 2 Service,Audio 3,Audio 3 Service,Audio 4 L,Audio 4 L Service,Audio 4 R,Audio 4 R Service,Site Name,District,State
4039,10.49.43.236,34401625660,2402,ABC Cairns,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Croydon,North Queensland,QLD
4046,10.49.17.14,34402275312,2407,612 ABC Brisbane,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Dulong Lookout,Brisbane,QLD
4051,10.66.146.78,34401625351,2406,ABC Toowoo,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Emerald Downs RT,South Queensland,QLD
4053,10.49.42.239,34401613656,2402,ABC Cairns,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Georgetown,North Queensland,QLD
4062,10.49.42.207,34401610206,2404,ABC Mt Isa,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Hospital Hill,North Queensland,QLD
4070,10.49.8.201,34401611651,2404,ABC Mt Isa,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Karumba,North Queensland,QLD
4071,10.49.43.204,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Laura RT,North Queensland,QLD
4074,10.65.202.13,34402089574,2407,612 ABC Brisbane,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Lower Beechmont,Brisbane,QLD
4086,10.49.5.111,34401602572,2406,ABC Toowoo,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Mitchell Escarpment,South Queensland,QLD
4091,10.11.22.37,34401604823,2402,ABC Cairns,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Mt Bellenden-Ker,North Queensland,QLD
4093,10.11.23.21,34402082818,2402,ABC Cairns,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Mt Blackwood,North Queensland,QLD
4097,10.11.21.37,34401615163,2403,ABC Longre,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Mt Goonaneman,South Queensland,QLD
4100,10.49.29.79,34401620447,2404,ABC Mt Isa,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,DCA Hill,North Queensland,QLD
4104,10.11.19.37,34401613482,2406,ABC Toowoo,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Mt Mowbullan,South Queensland,QLD
4105,10.49.12.112,34401625321,2402,ABC Cairns,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Mt Myrtle RT,North Queensland,QLD
4107,10.11.50.21,34401627360,2403,ABC Longre,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Mt Stuart,North Queensland,QLD
4114,10.11.18.37,34401600533,2406,ABC Toowoo,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Passchendaele Ridge,South Queensland,QLD
4115,10.49.43.140,34401622926,2403,ABC Longre,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Pentland RT,North Queensland,QLD
4125,10.66.150.206,34401605464,2403,ABC Longre,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Round Hill,South Queensland,QLD
4127,10.66.139.77,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shingle Beach Hill,North Queensland,QLD
4176,10.49.17.169,34401612107,2402,ABC Cairns,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Glenden,North Queensland,QLD
4218,10.49.17.137,34395845715,2402,ABC Cairns,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Lakeland RT,North Queensland,QLD
5004,10.49.21.46,34401615278,2502,ABC PPirie,2501,ABC RN,2500,Classic FM,2505,triple j,2001,ABC News,2900,ABC EMG1,Borthwick Hill RT,Adelaide,SA
5006,10.49.9.16,34401626536,2502,ABC PPirie,2501,ABC RN,2500,Classic FM,2505,triple j,2001,ABC News,2900,ABC EMG1,Coober Pedy RT,Adelaide,SA
5012,10.49.23.110,34401616571,2502,ABC PPirie,2501,ABC RN,2500,Classic FM,2505,triple j,2001,ABC News,2900,ABC EMG1,Leigh Creek MF,Adelaide,SA
5013,10.65.170.21,34401618459,2502,ABC PPirie,2501,ABC RN,2500,Classic FM,2505,triple j,2001,ABC News,2900,ABC EMG1,Loxton,Adelaide,SA
5015,10.14.17.21,34401622093,2502,ABC PPirie,2501,ABC RN,2500,Classic FM,2505,triple j,2001,ABC News,2900,ABC EMG1,Mt Burr,Adelaide,SA
5024,10.66.129.172,34401616836,2502,ABC PPirie,2501,ABC RN,2500,Classic FM,2505,triple j,2001,ABC News,2900,ABC EMG1,Roxby Downs RT,Adelaide,SA
5025,10.49.22.14,34402275211,2502,ABC PPirie,2501,ABC RN,2500,Classic FM,2505,triple j,2001,ABC News,2900,ABC EMG1,Streaky Bay MF,Adelaide,SA
5027,10.14.18.21,34401628087,2502,ABC PPirie,2501,ABC RN,2500,Classic FM,2505,triple j,2001,ABC News,2900,ABC EMG1,The Bluff,Adelaide,SA
6007,10.49.34.46,34401624063,2602,ABC Karr,2601,ABC RN,2600,Classic FM,2605,triple j,2001,ABC News,2900,ABC EMG1,Brown Range,Perth,WA
6008,10.49.47.9,34401628367,2606,ABC Bunbury,2601,ABC RN,2600,Classic FM,2605,triple j,2001,ABC News,2900,ABC EMG1,Yallingup MF,Perth,WA
6015,10.49.46.172,34402087358,2608,ABC Gerald,2601,ABC RN,2600,Classic FM,2605,triple j,2001,ABC News,2900,ABC EMG1,Dalwallinu MF,Perth,WA
6028,10.65.98.20,34402273467,2607,720 ABC Perth,2601,ABC RN,2600,Classic FM,2605,triple j,2001,ABC News,2900,ABC EMG1,Hamersley MF,Perth,WA
6031,10.49.2.111,34401628886,2608,ABC Gerald,2601,ABC RN,2600,Classic FM,2605,triple j,2001,ABC News,2900,ABC EMG1,Kalbarri,Perth,WA
6047,10.49.0.238,34401621059,2603,ABC Kalgoo,2601,ABC RN,2600,Classic FM,2605,triple j,2001,ABC News,2900,ABC EMG1,Mawson Trig,Perth,WA
6052,10.66.144.177,34401598241,2603,ABC Kalgoo,2601,ABC RN,2600,Classic FM,2605,triple j,2001,ABC News,2900,ABC EMG1,Moresby Range,Perth,WA
6054,10.65.158.22,34401624316,2603,ABC Kalgoo,2601,ABC RN,2600,Classic FM,2605,triple j,2001,ABC News,2900,ABC EMG1,Mt Barker,Perth,WA
