"Receiver 1 VAST Satellite 020D 4131";"10.49.20.173"
"Receiver 1 VAST Satellite 020D 4133";"10.49.10.204"
"Receiver 1 VAST Satellite 020D 4134";"10.49.35.239"
"Receiver 1 VAST Satellite 020D 4135";"10.49.31.239"
"Receiver 1 VAST Satellite 020D 4139";"10.49.31.204"
"Receiver 1 VAST Satellite 020D 4147";"10.49.32.15"
"Receiver 1 VAST Satellite 020D 4151";"10.49.10.140"
"Receiver 1 VAST Satellite 020D 5001";"10.49.18.139"
"Receiver 1 VAST Satellite 020D 5002";"10.49.18.8"
"Receiver 1 VAST Satellite 020D 5009";"10.49.22.238"
"Receiver 1 VAST Satellite 020D 5010";"10.49.8.145"
"Receiver 1 VAST Satellite 020D 5011";"10.49.17.236"
"Receiver 1 VAST Satellite 020D 5014";"10.66.151.205"
"Receiver 1 VAST Satellite 020D 5016";"10.49.18.74"
"Receiver 1 VAST Satellite 020D 5023";"10.49.35.143"
"Receiver 1 VAST Satellite 020D 5029";"10.66.131.39"
"Receiver 1 VAST Satellite 020D 5031";"10.49.17.204"
"Receiver 1 VAST Satellite 020D 6001";"10.66.133.8"
"Receiver 1 VAST Satellite 020D 6006";"10.49.30.110"
"Receiver 1 VAST Satellite 020D 6014";"10.49.18.43"
"Receiver 1 VAST Satellite 020D 6017";"10.66.140.112"
"Receiver 1 VAST Satellite 020D 6019";"10.49.21.235"
"Receiver 1 VAST Satellite 020D 6021";"10.66.143.45"
"Receiver 1 VAST Satellite 020D 6024";"10.49.15.12"
"Receiver 1 VAST Satellite 020D 6026";"10.49.23.238"
"Receiver 1 VAST Satellite 020D 6029";"10.49.24.14"
"Receiver 1 VAST Satellite 020D 6030";"10.49.28.13"
"Receiver 1 VAST Satellite 020D 6034";"10.49.11.8"
"Receiver 1 VAST Satellite 020D 6037";"10.66.140.48"
"Receiver 1 VAST Satellite 020D 6042";"10.49.28.76"
"Receiver 1 VAST Satellite 020D 6044";"10.49.24.46"
"Receiver 1 VAST Satellite 020D 6046";"10.49.16.236"
"Receiver 1 VAST Satellite 020D 6048";"10.49.36.207"
"Receiver 1 VAST Satellite 020D 6049";"10.49.23.207"
"Receiver 1 VAST Satellite 020D 6050";"10.66.147.235"
"Receiver 1 VAST Satellite 020D 6053";"10.66.140.138"
"Receiver 1 VAST Satellite 020D 6059";"10.49.33.207"
"Receiver 1 VAST Satellite 020D 6061";"10.49.35.48"
"Receiver 1 VAST Satellite 020D 6063";"10.66.132.41"
"Receiver 1 VAST Satellite 020D 6064";"10.49.27.78"
"Receiver 1 VAST Satellite 020D 6066";"10.49.17.109"
"Receiver 1 VAST Satellite 020D 6067";"10.66.150.77"
"Receiver 1 VAST Satellite 020D 6071";"10.66.143.75"
"Receiver 1 VAST Satellite 020D 6072";"10.49.16.171"
"Receiver 1 VAST Satellite 020D 6074";"10.49.8.20"
"Receiver 1 VAST Satellite 020D 6082";"10.49.7.50"
"Receiver 1 VAST Satellite 020D 6083";"10.49.26.14"
"Receiver 1 VAST Satellite 020D 6084";"10.49.23.144"
"Receiver 1 VAST Satellite 020D 6085";"10.49.21.139"
"Receiver 1 VAST Satellite 020D 6087";"10.49.36.144"
"Receiver 1 VAST Satellite 020D 6125";"10.66.143.12"
"Receiver 1 VAST Satellite 020D 6128";"10.66.142.78"
"Receiver 1 VAST Satellite 020D 7001";"10.49.4.233"
"Receiver 1 VAST Satellite 020D 7021";"10.49.5.74"
"Receiver 1 VAST Satellite 020D 7036";"10.66.137.15"
"Receiver 1 VAST Satellite 020D 8007";"10.49.13.138"
"Receiver 1 VAST Satellite 020D 8015";"10.49.34.238"
"Receiver 1 VAST Satellite 020D 8018";"10.49.41.175"
"Receiver 1 VAST Satellite 020D 8020";"10.49.38.209"
"Receiver 1 VAST Satellite 020D 8021";"10.49.32.171"
"Receiver 1 VAST Satellite 020D 8023";"10.49.27.47"
"Receiver 1 VAST Satellite 030D 2018";"10.49.26.107"
"Receiver 1 VAST Satellite 030D 2038";"10.49.42.112"
"Receiver 1 VAST Satellite 030D 2057";"10.49.42.145"
"Receiver 1 VAST Satellite 030D 2062";"10.49.27.239"
"Receiver 1 VAST Satellite 030D 2083";"10.66.146.235"
"Receiver 1 VAST Satellite 030D 2107";"10.49.42.14"
"Receiver 1 VAST Satellite 030D 2112";"10.49.4.105"
"Receiver 1 VAST Satellite 030D 3085";"10.66.149.109"
"Receiver 1 VAST Satellite 030D 4010";"10.49.36.76"
"Receiver 1 VAST Satellite 030D 4012";"10.49.45.76"
"Receiver 1 VAST Satellite 030D 4013";"10.49.32.111"
"Receiver 1 VAST Satellite 030D 4018";"10.49.40.204"
"Receiver 1 VAST Satellite 030D 4031";"10.49.25.236"
"Receiver 1 VAST Satellite 030D 4035";"10.49.43.172"
"Receiver 1 VAST Satellite 030D 4059";"10.49.44.44"
"Receiver 1 VAST Satellite 030D 4083";"10.66.143.204"
"Receiver 1 VAST Satellite 030D 4089";"10.49.31.173"
"Receiver 1 VAST Satellite 030D 4095";"10.49.13.203"
"Receiver 1 VAST Satellite 030D 4103";"10.66.138.44"
"Receiver 1 VAST Satellite 030D 4118";"10.49.32.77"
"Receiver 1 VAST Satellite 030D 4134";"10.49.35.238"
"Receiver 1 VAST Satellite 030D 4135";"10.49.31.238"
"Receiver 1 VAST Satellite 030D 4139";"10.49.31.205"
"Receiver 1 VAST Satellite 030D 4147";"10.49.32.14"
"Receiver 1 VAST Satellite 030D 5001";"10.49.18.140"
"Receiver 1 VAST Satellite 030D 5014";"10.66.151.206"
"Receiver 1 VAST Satellite 030D 6001";"10.66.133.18"
"Receiver 1 VAST Satellite 030D 6009";"10.49.34.75"
"Receiver 1 VAST Satellite 030D 6014";"10.49.18.44"
"Receiver 1 VAST Satellite 030D 6018";"10.49.15.104"
"Receiver 1 VAST Satellite 030D 6022";"10.49.16.107"
"Receiver 1 VAST Satellite 030D 6024";"10.49.15.13"
"Receiver 1 VAST Satellite 030D 6026";"10.49.23.239"
"Receiver 1 VAST Satellite 030D 6029";"10.49.24.15"
"Receiver 1 VAST Satellite 030D 6035";"10.66.141.136"
"Receiver 1 VAST Satellite 030D 6044";"10.49.24.47"
"Receiver 1 VAST Satellite 030D 6046";"10.49.16.237"
"Receiver 1 VAST Satellite 030D 6048";"10.49.36.208"
"Receiver 1 VAST Satellite 030D 6059";"10.49.33.208"
"Receiver 1 VAST Satellite 030D 6063";"10.66.132.42"
"Receiver 1 VAST Satellite 030D 6066";"10.49.17.108"
"Receiver 1 VAST Satellite 030D 6067";"10.66.150.78"
"Receiver 1 VAST Satellite 030D 6080";"10.49.20.235"
"Receiver 1 VAST Satellite 030D 6082";"10.49.7.51"
"Receiver 1 VAST Satellite 030D 6083";"10.49.26.15"
"Receiver 1 VAST Satellite 030D 6128";"10.66.142.79"
"Receiver 1 VAST Satellite 030D 8007";"10.49.13.137"
"Receiver 1 VAST Satellite 030D 8014";"10.49.34.204"
